Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
502_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,Общая группа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
502_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,01 подгруппа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
502_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,02 подгруппа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
502_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,Общая группа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
502_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,01 подгруппа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
502_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,02 подгруппа,Системный инжиниринг,Практическое занятие,Лисовская О.Б.,10-214
504_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
504_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,01 подгруппа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
504_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,02 подгруппа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
504_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,Общая группа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
504_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,01 подгруппа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
504_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,02 подгруппа,"Разработка приложений виртуальной, дополненной и смешанной реальности",Практическое занятие,Демакова И.П.,6-403
