Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,Общая группа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,01 подгруппа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
513_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,02 подгруппа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
513_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,Общая группа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
513_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,01 подгруппа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
513_1_25052026_07062026.html,27.05.26,среда,15:45-17:15,02 подгруппа,Экономика,Практическое занятие,Мутных Т.Н.,16-408
518_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,Общая группа,Сетевое администрирование,Лекция,Медведева Е.В.,16-313
518_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,01 подгруппа,Сетевое администрирование,Лекция,Медведева Е.В.,16-313
518_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,02 подгруппа,Сетевое администрирование,Лекция,Медведева Е.В.,16-313
888_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,Общая группа,Теория информации и кодирования,Лекция,Подлевских М.Н.,16-313
888_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,01 подгруппа,Теория информации и кодирования,Лекция,Подлевских М.Н.,16-313
888_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,02 подгруппа,Теория информации и кодирования,Лекция,Подлевских М.Н.,16-313
