Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
476_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,Общая группа,Языковая грамотность,Практическое занятие,Вылегжанина С.Ю.,14-331
476_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,01 подгруппа,Языковая грамотность,Практическое занятие,Вылегжанина С.Ю.,14-331
476_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,02 подгруппа,Языковая грамотность,Практическое занятие,Вылегжанина С.Ю.,14-331
476_1_25052026_07062026.html,27.05.26,среда,14:00-15:30,03 подгруппа,Языковая грамотность,Практическое занятие,Вылегжанина С.Ю.,14-331
516_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,Общая группа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,01 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,02 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,10:00-11:30,03 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,Общая группа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,01 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,02 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
516_1_25052026_07062026.html,27.05.26,среда,11:45-13:15,03 подгруппа,Основы российского законодательства,Практическое занятие,Семено А.В.,14-308
