Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
448_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,Теоретические основы экологии,Лекция,Зимонина Н.М.,15-343
448_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,Теоретические основы экологии,Лекция,Зимонина Н.М.,15-343
448_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,Теоретические основы экологии,Лекция,Зимонина Н.М.,15-343
448_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,03 подгруппа,Теоретические основы экологии,Лекция,Зимонина Н.М.,15-343
487_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,Общая группа,Математика,Практическое занятие,Камалов К.О.,15-324
487_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,01 подгруппа,Математика,Практическое занятие,Камалов К.О.,15-324
487_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,02 подгруппа,Математика,Практическое занятие,Камалов К.О.,15-324
487_1_25052026_07062026.html,28.05.26,четверг,08:20-09:50,03 подгруппа,Математика,Практическое занятие,Камалов К.О.,15-324
487_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,Общая группа,Математика,Лекция,Камалов К.О.,15-343
487_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,01 подгруппа,Математика,Лекция,Камалов К.О.,15-343
487_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,02 подгруппа,Математика,Лекция,Камалов К.О.,15-343
487_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,03 подгруппа,Математика,Лекция,Камалов К.О.,15-343
