Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
482_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,Общая группа,Иностранный язык,Практическое занятие,Мишутинская Е.А.,13-513
482_1_25052026_07062026.html,28.05.26,четверг,10:00-11:30,01 подгруппа,Иностранный язык,Практическое занятие,Мишутинская Е.А.,13-513
516_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,Общая группа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,01 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,02 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,11:45-13:15,03 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,Общая группа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,01 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,02 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
516_1_25052026_07062026.html,28.05.26,четверг,14:00-15:30,03 подгруппа,Теория государства и права,Практическое занятие,Бакшаев М.В.,13-608
