Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
926_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,Общая группа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,01 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,02 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,03 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,Общая группа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,01 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,02 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,03 подгруппа,Первый иностранный язык (русский язык),Практическое занятие,Исупова С.М.,2-303
926_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,Общая группа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,01 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,02 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,03 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,Общая группа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,01 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,02 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
926_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,03 подгруппа,Обучение фонетике с применением информационных образовательных технологий,Практическое занятие,Ван С..,2-102
