Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
888_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,Общая группа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,01 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,02 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,10:00-11:30,03 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,Общая группа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,01 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,02 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,03 подгруппа,Дифференциальное и интегральное исчисления,Практическое занятие,Бызов В.А.,16-220
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,Общая группа,Математика,Практическое занятие,Пескишева Т.А.,16-410
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,01 подгруппа,Математика,Практическое занятие,Пескишева Т.А.,16-410
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,02 подгруппа,Математика,Практическое занятие,Пескишева Т.А.,16-410
888_1_25052026_07062026.html,29.05.26,пятница,11:45-13:15,03 подгруппа,Математика,Практическое занятие,Пескишева Т.А.,16-410
969_1_25052026_07062026.html,29.05.26,пятница,08:20-09:50,Общая группа,Физика,Лабораторная работа,Позолотин А.П.,14-240
969_1_25052026_07062026.html,29.05.26,пятница,08:20-09:50,02 подгруппа,Физика,Лабораторная работа,Позолотин А.П.,14-240
