Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
453_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,Общая группа,Документационное обеспечение работы с персоналом,Лекция,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,01 подгруппа,Документационное обеспечение работы с персоналом,Лекция,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,02 подгруппа,Документационное обеспечение работы с персоналом,Лекция,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,14:00-15:30,03 подгруппа,Документационное обеспечение работы с персоналом,Лекция,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,Общая группа,Документационное обеспечение работы с персоналом,Практическое занятие,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,01 подгруппа,Документационное обеспечение работы с персоналом,Практическое занятие,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,02 подгруппа,Документационное обеспечение работы с персоналом,Практическое занятие,Деветьярова И.П.,14-133
453_1_25052026_07062026.html,29.05.26,пятница,15:45-17:15,03 подгруппа,Документационное обеспечение работы с персоналом,Практическое занятие,Деветьярова И.П.,14-133
894_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,01 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,02 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,17:20-18:50,03 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,Общая группа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,01 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,02 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
894_1_25052026_07062026.html,29.05.26,пятница,18:55-20:25,03 подгруппа,Технологии социального и профессионального взаимодействия,Практическое занятие,Копанев А.Н.,14-113
